"country","crimeRateByCountry_crimeIndex","CrimeRate_OverallCriminalityScoreGOCI","CrimeRate_CriminalMarketsScore","CrimeRate_CriminalActorsScore","CrimeRate_ResilienceScore","CrimeRateSafetyIndex"
"Qatar",14.3,5.45,5.7,5.2,5.42,85.7
"Moldova",null,5.6,5.2,6,3.92,null
"Namibia",64.6,4.3,4.1,4.5,4.54,35.4
"Armenia",21.6,2.82,2.93,2.7,5.71,78.4
"Lithuania",33.2,3.9,3.8,4,7.29,66.8
"Jamaica",67.5,5.8,4.9,6.7,5.42,32.5
"Albania",45.4,5.17,4.83,5.5,5.13,54.6
"Gambia",null,4.53,4.67,4.4,5.17,null
"Gabon",null,4.85,4.6,5.1,3.25,null
"Botswana",52.6,4.35,4.4,4.3,5.46,47.4
"Lesotho",null,3.92,3.43,4.4,3.92,null
"Slovenia",24.2,4.37,4.03,4.7,6.04,75.8
"Equatorial Guinea",null,4.38,3.57,5.2,2.21,null
"Latvia",37.3,3.9,4.5,3.3,7.58,62.7
"North Macedonia",40.7,5.03,4.87,5.2,5.29,59.3
"Bahrain",24.2,4.95,5.4,4.5,5.42,75.8
"Trinidad and Tobago",70.8,5.2,4.8,5.6,5.33,29.2
"Timor-Leste",null,4.08,3.67,4.5,3.83,null
"Estonia",24.5,4.25,4.2,4.3,7.88,75.5
"Cyprus",32.6,4.43,3.97,4.9,4.46,67.4
"Mauritius",48.1,4.37,4.13,4.6,5.54,51.9
"Eswatini",null,4.38,3.87,4.9,3.29,null
"Djibouti",61.1,4.65,4.3,5,4.38,38.9
"Fiji",56.7,4.15,4.3,4,5.42,43.3
"Comoros",null,3.92,3.73,4.1,2.38,null
"Guyana",68.8,5.97,5.13,6.8,4.04,31.2
"Solomon Islands",null,4.4,3.7,5.1,5.08,null
"Bhutan",null,3.9,3.9,3.9,4.71,null
"Luxembourg",34,2.85,2.9,2.8,7.5,66
"Montenegro",36.9,5.9,5.2,6.6,4.75,63.1
"Suriname",null,4.77,4.53,5,3.04,null
"Malta",40,5,4.3,5.7,5.13,60
"Maldives",55.2,4.27,3.53,5,4.08,44.8
"Cape Verde",null,4.28,3.97,4.6,6.58,null
"Brunei",29.2,2.85,3.3,2.4,4.58,70.8
"Belize",52.3,4.87,4.43,5.3,3.29,47.7
"Bahamas",60.3,3.75,3.6,3.9,5.5,39.7
"Iceland",25,3.37,2.93,3.8,8.21,75
"Vanuatu",null,2.43,2.67,2.2,5.13,null
"Barbados",46.6,3.07,2.43,3.7,6.13,53.4
"Sao Tome and Principe",null,1.7,1.7,1.7,4.92,null
"Samoa",null,2.43,2.97,1.9,5.83,null
"Saint Lucia",null,3.53,2.67,4.4,5.58,null
"Kiribati",null,2.45,2.6,2.3,4.33,null
"Seychelles",null,3.9,3.5,4.3,5.21,null
"Grenada",null,2.93,2.67,3.2,5.13,null
"Micronesia",null,3,3,3,5.88,null
"Tonga",null,3.7,3.5,3.9,5.29,null
"Saint Vincent and the Grenadines",null,3.08,2.67,3.5,5.38,null
"Antigua and Barbuda",null,2.98,2.67,3.3,4.58,null
"United States Virgin Islands",61.2,null,null,null,null,38.8
"Andorra",null,3.22,2.73,3.7,7.96,null
"Dominica",null,2.63,2.67,2.6,5.17,null
"Saint Kitts and Nevis",null,3.52,2.83,4.2,5,null
"Liechtenstein",null,2.27,2.33,2.2,8.46,null
"Monaco",24.7,2.58,1.67,3.5,5.63,75.3
"Marshall Islands",null,2.52,2.73,2.3,5.79,null
"San Marino",null,3.48,2.37,4.6,5.21,null
"Palau",null,2.7,2.9,2.5,5.33,null
"Nauru",null,2.05,2.2,1.9,5,null
"Tuvalu",null,1.62,1.93,1.3,6.08,null,
"Total",46.59719098369851,,,,,
